"metro,location_tier,sqft,bedrooms,bathrooms,house_age,garage_spaces,lot_size,price"
"Phoenix,3,1186,3,1,37,1,2158,250900"
"Austin,2,1548,4,2,22,1,3074,497100"
"Columbus,3,2077,3,2,49,2,4723,429300"
"Chicago,2,1492,2,2,66,2,5467,376600"
"San Francisco,1,1719,2,2,25,2,6593,1466500"
"Indianapolis,3,2187,4,2,9,2,4993,293600"
"Phoenix,3,1673,1,1,5,3,2224,406900"
"Phoenix,3,2047,3,2,4,1,5901,392000"
"New York,1,2935,6,4,29,3,6954,2406100"
"Austin,2,1788,2,1,77,2,4610,667400"
"Seattle,2,2667,4,3,20,1,6501,1196700"
"Indianapolis,3,2264,3,3,32,2,6866,362300"
"Chicago,2,9460,2,1,53,0,1942,251300"
"Phoenix,3,1184,1,1,52,1,4380,245800"
"Austin,2,1358,2,1,21,3,3231,544500"
"New York,1,1344,2,1,10,1,2899,983000"
"Denver,2,1841,4,3,12,1,6967,739800"
"San Francisco,1,2300,3,2,17,3,5066,1625700"
"Phoenix,3,2716,4,2,6,1,3891,650900"
"Chicago,2,2100,4,2,36,1,3433,527600"
"Phoenix,3,1610,2,1,51,0,5152,285600"
"Seattle,2,547,1,1,54,1,1518,276400"
"Indianapolis,3,1946,3,1,72,1,5248,270300"
"Columbus,3,1917,4,3,23,0,2740,267800"
"Phoenix,3,2019,3,2,52,2,3350,373800"
"New York,1,3269,5,3,70,1,7549,1508700"
"Austin,2,2706,3,2,2,1,6642,847900"
"San Francisco,1,2410,4,3,62,0,5433,1651100"
"New York,1,1275,3,1,7,1,3325,993500"
"Chicago,2,1567,2,1,44,2,5099,389800"
"Phoenix,3,1838,3,2,66,1,5477,334900"
"Indianapolis,3,1396,2,1,36,1,4065,257300"
"Seattle,2,2225,3,1,44,1,6145,1111300"
"Seattle,2,2132,3,2,49,0,3758,744300"
"Austin,2,1193,2,2,46,0,3451,475700"
"New York,1,2678,4,3,58,1,4402,1771700"
"New York,1,1967,2,1,68,0,6287,960700"
"Austin,2,776,1,1,10,1,1914,310700"
"New York,1,1867,3,2,33,1,5280,810200"
"Chicago,2,2083,3,1,68,2,7532,546800"
"Austin,2,2532,5,4,30,1,5684,764900"
"Phoenix,3,1681,4,3,39,1,2487,372600"
"Chicago,2,2438,5,3,59,1,9011,850500"
"Boston,1,2022,2,1,74,1,4493,1024100"
"Phoenix,3,1045,2,2,20,1,2443,244300"
"Phoenix,3,980,2,2,76,1,1988,172800"
"Seattle,2,2630,5,4,56,1,6250,1241900"
"Boston,1,2677,4,2,2,1,7117,1140000"
"Chicago,2,2110,4,2,68,0,7514,597200"
"New York,1,2872,4,3,30,3,9238,2578200"
"New York,1,2587,4,2,22,2,6822,1879400"
"San Francisco,1,2344,3,3,42,0,7826,2057600"
"Phoenix,3,1308,2,2,46,3,4675,347000"
"Chicago,2,3025,4,2,43,1,4123,685700"
"Chicago,2,2249,4,2,4,0,6428,657200"
"Phoenix,3,1649,3,2,65,1,2179,278200"
"Austin,2,1466,2,1,27,3,3024,620000"
"Denver,2,2067,3,2,11,1,6893,603200"
"New York,1,814,2,2,45,2,2780,696400"
"New York,1,2355,3,1,49,2,8654,1747100"
"Chicago,2,1280,1,1,8,1,3322,366800"
"Austin,2,2141,4,2,75,1,3074,598400"
"Denver,2,1561,2,1,48,0,2427,448500"
"Phoenix,3,1728,2,1,79,2,3256,273800"
"Chicago,2,1408,1,1,53,1,3157,364200"
"Denver,2,1795,3,1,0,1,4800,547900"
"Denver,2,3128,5,3,16,0,9411,879200"
"Boston,1,2800,3,1,77,2,4634,1251900"
"San Francisco,1,2130,3,1,44,2,3683,1717900"
"Austin,2,1884,4,2,9,1,3173,660100"
"New York,1,2449,3,2,5,1,8116,1349700"
"Seattle,2,2634,4,3,42,1,5389,1214800"
